#名前,"性別(0=両,1=男,2=女)",レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5,生産素材1,個数,生産素材2,個数,生産素材3,個数,生産素材4,個数,カスタム強化防御力,カスタム強化素材1,個数1,カスタム強化素材2,個数2,ワンセット防具,仮番号
レウスＸアーム,0,9,2,0,0,,114,130,3,1,-2,1,-3,攻撃,2,耳栓,2,,,,,,,,,,,,,,,,,,,,,5790
ジンオウＸアーム,0,9,2,0,0,,116,132,0,-1,4,-4,1,力の解放,1,体術,2,会心撃【属性】,1,,,,,,,,,,,,,,,,,,,5800
レックスＸアーム,0,9,4,0,0,,118,134,2,0,-3,0,-2,心眼,1,フルチャージ,1,気絶耐性,3,通常弾・連射矢強化,1,,,,,,,,,,,,,,,,,5810
ディアブロＸアーム,0,9,2,1,0,,118,134,3,-1,-1,-3,-1,攻めの守勢,2,スタミナ急速回復,1,貫通弾・貫通矢強化,2,,,,,,,,,,,,,,,,,,,5820
ゴアアーム,0,9,4,0,0,,112,128,-2,3,-1,2,-1,災禍転福,1,早食い,2,,,,,,,,,,,,,,,,,,,,,5830
レギオスアーム,0,9,0,0,0,,114,130,4,0,-3,-2,0,匠,3,,,,,,,,,,,,,,,,,,,,,,,5840
ゼクスアーム,0,9,4,1,0,,114,130,0,-1,4,-3,0,連撃,1,スタミナ急速回復,1,気絶耐性,1,,,,,,,,,,,,,,,,,,,5850
ルナガロアーム,0,9,2,1,0,,114,130,-4,2,-1,4,-1,挑戦者,3,翔蟲使い,1,,,,,,,,,,,,,,,,,,,,,5860
エスピナフォアスト,0,9,4,0,0,,116,132,3,-1,2,-3,-2,攻勢,1,剛刃研磨,2,速射強化,1,,,,,,,,,,,,,,,,,,,5870
重装騎士【手甲】,0,9,2,0,0,,114,130,1,1,1,1,1,ガード性能,2,ガード強化,1,業物,1,,,,,,,,,,,,,,,,,,,5880
ホークグラブ,1,9,2,0,0,,110,126,0,0,0,0,0,早食い,1,納刀術,2,弱点特効,1,,,,,,,,,,,,,,,,,,,5890
エコールグラブ,2,9,2,0,0,,110,126,0,0,0,0,0,早食い,1,納刀術,2,弱点特効,1,,,,,,,,,,,,,,,,,,,5900
ディグニグローブ,0,9,3,0,0,,112,128,1,1,1,1,1,高速変形,1,回避性能,2,業物,1,,,,,,,,,,,,,,,,,,,5910
バルバニアグラブ,0,9,2,1,1,,110,126,1,1,1,1,1,弱点特効,1,破壊王,1,幸運,1,,,,,,,,,,,,,,,,,,,5920
グローシアアーム,0,9,1,1,1,,112,128,0,0,0,3,0,回復速度,3,力の解放,2,攻撃,1,,,,,,,,,,,,,,,,,,,5930
斉天ノ篭手・真,0,9,4,1,0,,116,130,2,1,3,-5,2,火事場力,1,力の解放,2,,,,,,,,,,,,,,,,,,,,,5940
バゼルＸアーム,0,9,2,2,0,,118,132,3,1,-4,-2,-2,ガード強化,1,ガード性能,1,挑戦者,2,,,,,,,,,,,,,,,,,,,5950
ダマスクＸアーム,0,9,2,1,0,,114,128,-1,2,-3,1,-1,耳栓,2,属性やられ耐性,1,,,,,,,,,,,,,,,,,,,,,5960
クシャナＸハトゥー,0,9,1,0,0,,120,134,-1,2,-2,3,-3,鋼殻の恩恵,2,挑戦者,2,,,,,,,,,,,,,,,,,,,,,5970
ミヅハ真【大袖】,0,9,2,2,0,,120,134,-5,1,0,3,-3,霞皮の恩恵,1,毒属性強化,2,回避性能,2,,,,,,,,,,,,,,,,,,,5980
カイザーＸアーム,0,9,3,0,0,,120,134,4,-4,1,-1,-3,炎鱗の恩恵,1,見切り,1,超会心,1,,,,,,,,,,,,,,,,,,,5990
アークアーム,1,9,4,0,0,,120,134,-2,2,-1,2,-4,会心撃【属性】,2,死中に活,1,,,,,,,,,,,,,,,,,,,,,6000
フィリアアーム,2,9,4,0,0,,120,134,-2,2,-1,2,-4,会心撃【属性】,2,死中に活,1,,,,,,,,,,,,,,,,,,,,,6010
メルゼアーム,0,9,4,0,0,,120,134,-2,2,2,-1,-5,翔蟲使い,1,攻撃,2,属性やられ耐性,1,,,,,,,,,,,,,,,,,,,6020
プロフミトン,1,9,2,2,1,,114,128,1,1,1,1,1,精霊の加護,3,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,6030
シャリテグローブ,2,9,2,2,1,,114,128,1,1,1,1,1,精霊の加護,3,腹減り耐性,1,,,,,,,,,,,,,,,,,,,,,6040
サージュアーム,0,9,2,2,1,,114,128,0,0,0,0,0,体力回復量ＵＰ,3,満足感,1,,,,,,,,,,,,,,,,,,,,,6050
シーカーグラブ,0,9,1,1,1,,114,128,2,2,2,2,2,早食い,3,キノコ大好き,1,,,,,,,,,,,,,,,,,,,,,6060
メデュレトＸグラブ,0,9,3,1,0,,114,128,1,3,0,2,0,精霊の加護,2,集中,1,ＫＯ術,1,,,,,,,,,,,,,,,,,,,6070
セイラーグラブ,0,9,3,0,0,,114,128,0,0,0,0,0,集中,3,翔蟲使い,1,,,,,,,,,,,,,,,,,,,,,6080
ギルドパレスアーム,0,9,4,0,0,,120,130,1,2,2,1,1,挑戦者,2,災禍転福,1,壁面移動【翔】,1,,,,,,,,,,,,,,,,,,,6090
冥淵纏鎧イレエピヌ,0,10,4,0,0,,126,138,0,3,-2,3,-5,伏魔響命,2,逆恨み,1,,,,,,,,,,,,,,,,,,,,,6100
しまきのかいな真,0,10,2,0,0,,122,134,-1,0,0,0,-2,風紋の一致,1,体術,1,スタミナ急速回復,1,風雷合一,1,,,,,,,,,,,,,,,,,6110
なるかみのかいな真,0,10,2,0,0,,122,134,2,1,4,-3,-4,雷紋の一致,1,ガード性能,1,破壊王,1,風雷合一,1,,,,,,,,,,,,,,,,,6120
赫耀ノアーム・真,0,10,4,0,0,,124,136,-2,-2,-2,-2,3,龍気活性,1,弱点特効,2,,,,,,,,,,,,,,,,,,,,,6130
怒天ノ篭手,0,10,4,0,0,,122,134,2,1,3,-5,2,激昂,1,見切り,2,,,,,,,,,,,,,,,,,,,,,6140
禍鎧・怨【篭手】,0,10,3,2,0,,124,136,3,-3,-2,1,1,業鎧【修羅】,1,逆襲,1,合気,1,,,,,,,,,,,,,,,,,,,6150
拠点司令【手甲】,0,10,4,1,0,,118,130,1,1,1,1,1,チャージマスター,2,納刀術,1,,,,,,,,,,,,,,,,,,,,,6160
プライドアーム,0,10,3,1,0,,123,135,3,0,-2,-3,-1,根性,1,弱点特効,1,耳栓,1,,,,,,,,,,,,,,,,,,,6190
ゴールドルナアーム,0,10,4,2,1,,120,132,3,-3,-4,-1,2,超会心,1,フルチャージ,1,連撃,1,,,,,,,,,,,,,,,,,,,6200
シルバーソルアーム,0,10,4,1,1,,122,134,4,-4,-3,-2,3,弱点特効【属性】,1,会心撃【属性】,1,体術,2,,,,,,,,,,,,,,,,,,,6210
月光【手甲】,0,10,2,2,0,,118,130,3,3,0,-5,-2,巧撃,2,回避性能,3,,,,,,,,,,,,,,,,,,,,,6220
